SiConf         0           0    nEN_HITOR_OUT[0]        0    nEN_HITOR_OUT           448        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            
    3935       1           1    nEN_HITOR_OUT[1]        1    nEN_HITOR_OUT             1        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    3941       2           1    nEN_HITOR_OUT[2]        2    nEN_HITOR_OUT             1        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    3947       3           1    nEN_HITOR_OUT[3]        3    nEN_HITOR_OUT           224        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    3953       4           0    EN_HITOR_OUT[0]         0    EN_HITOR_OUT            448        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    3959       5           1    EN_HITOR_OUT[1]         1    EN_HITOR_OUT            224        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    3965       6           1    EN_HITOR_OUT[2]         2    EN_HITOR_OUT            448        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    3971       7           1    EN_HITOR_OUT[3]         3    EN_HITOR_OUT            448        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    3977       8           1    nEN_OUT[0]              0    nEN_OUT                1408        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    3983       9           1    nEN_OUT[1]              1    nEN_OUT                   1        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    3989      10           1    nEN_OUT[2]              2    nEN_OUT                  16        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    3995      11           1    nEN_OUT[3]              3    nEN_OUT                  14        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_39
    4001      12           0    EN_OUT[0]               0    EN_OUT                    4        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_40
    4007      13           0    EN_OUT[1]               1    EN_OUT                  224        global_cnfg_n_   global_cnfg_Latch ,net,/I0/   ,,t            ,net,/I0/global_cnfg_n_40
